YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,10,6,B6,1580,N358JB,FLL,DCA,1618,1648,30,12,1700,145,129,114,899,1854,3,1843,1857,14,0,0,,,,,,
2015,1,10,6,MQ,3444,N918MQ,BMI,DFW,1618,1615,-3,13,1628,137,140,109,690,1817,18,1835,1835,0,0,0,,,,,,
2015,1,10,6,UA,216,N439UA,DFW,LAX,1619,1620,1,15,1635,213,184,164,1235,1719,5,1752,1724,-28,0,0,,,,,,
2015,1,10,6,DL,2152,N143DA,ATL,SAN,1619,1617,-2,12,1629,294,261,245,1892,1734,4,1813,1738,-35,0,0,,,,,,
2015,1,10,6,DL,65,N340NW,ATL,MIA,1619,1619,0,13,1632,113,122,82,594,1754,27,1812,1821,9,0,0,,,,,,
2015,1,10,6,DL,1509,N6716C,MCO,MSP,1619,1608,-11,17,1625,215,206,184,1310,1829,5,1854,1834,-20,0,0,,,,,,
2015,1,10,6,OO,5658,N719SK,DEN,COS,1620,1620,0,18,1638,41,44,17,73,1655,9,1701,1704,3,0,0,,,,,,
2015,1,10,6,US,793,N701UW,CLT,STL,1620,1616,-4,14,1630,121,114,95,575,1705,5,1721,1710,-11,0,0,,,,,,
2015,1,10,6,US,2031,N959UW,PHL,ATL,1620,1619,-1,15,1634,146,124,104,666,1818,5,1846,1823,-23,0,0,,,,,,
2015,1,10,6,US,2036,N766US,CLT,SYR,1620,1619,-1,15,1634,106,100,82,603,1756,3,1806,1759,-7,0,0,,,,,,
2015,1,10,6,US,2038,N520UW,CLT,PVD,1620,1617,-3,15,1632,112,110,91,683,1803,4,1812,1807,-5,0,0,,,,,,
2015,1,10,6,US,2046,N201UU,CLT,RSW,1620,1654,34,12,1706,113,109,93,600,1839,4,1813,1843,30,0,0,,0,0,30,0,0
2015,1,10,6,US,594,N154UW,PHX,IAH,1620,1615,-5,12,1627,148,147,124,1009,1931,11,1948,1942,-6,0,0,,,,,,
2015,1,10,6,VX,211,N627VA,ORD,SFO,1620,1631,11,11,1642,285,267,248,1846,1850,8,1905,1858,-7,0,0,,,,,,
2015,1,10,6,VX,936,N835VA,SFO,LAX,1620,1617,-3,8,1625,80,75,57,337,1722,10,1740,1732,-8,0,0,,,,,,
2015,1,10,6,WN,4318,N761RR,RDU,MDW,1620,1615,-5,5,1620,125,115,105,632,1705,5,1725,1710,-15,0,0,,,,,,
2015,1,10,6,WN,2744,N964WN,LAS,MKE,1620,1628,8,14,1642,205,199,179,1524,2141,6,2145,2147,2,0,0,,,,,,
2015,1,10,6,WN,2935,N425LV,LAS,ONT,1620,1646,26,12,1658,55,54,35,197,1733,7,1715,1740,25,0,0,,0,0,20,5,0
2015,1,10,6,WN,3531,N637SW,MHT,BWI,1620,1645,25,12,1657,105,99,83,377,1820,4,1805,1824,19,0,0,,0,0,0,19,0
2015,1,10,6,WN,4398,N940WN,MSY,BWI,1620,1616,-4,7,1623,140,134,119,998,1922,8,1940,1930,-10,0,0,,,,,,
2015,1,10,6,WN,2621,N317WN,MSY,HOU,1620,1619,-1,19,1638,80,93,55,302,1733,19,1740,1752,12,0,0,,,,,,
2015,1,10,6,WN,3769,N8634A,MSY,PHX,1620,1620,0,7,1627,215,193,182,1300,1829,4,1855,1833,-22,0,0,,,,,,
2015,1,10,6,WN,4271,N493WN,SJC,LAS,1620,1701,41,7,1708,80,77,64,386,1812,6,1740,1818,38,0,0,,0,0,0,38,0
2015,1,10,6,WN,2984,N463WN,SNA,LAS,1620,1622,2,7,1629,65,53,39,226,1708,7,1725,1715,-10,0,0,,,,,,
2015,1,10,6,WN,4315,N627SW,TPA,BNA,1620,1654,34,9,1703,110,105,89,612,1732,7,1710,1739,29,0,0,,0,0,8,21,0
2015,1,10,6,AA,209,N3GTAA,LAX,SFO,1620,1617,-3,31,1648,80,86,53,337,1741,2,1740,1743,3,0,0,,,,,,
2015,1,10,6,AA,1035,N574AA,DFW,TUL,1620,1653,33,20,1713,60,68,44,237,1757,4,1720,1801,41,0,0,,8,0,33,0,0
2015,1,10,6,AA,2216,N3LWAA,LAX,ORD,1620,1615,-5,20,1635,237,240,212,1744,2207,8,2217,2215,-2,0,0,,,,,,
2015,1,10,6,AS,892,N516AS,HNL,SAN,1620,1613,-7,27,1640,338,325,295,2614,2335,3,2358,2338,-20,0,0,,,,,,
2015,1,10,6,B6,26,N503JB,TPA,JFK,1620,1622,2,12,1634,156,148,129,1005,1843,7,1856,1850,-6,0,0,,,,,,
2015,1,10,6,AA,959,N424AA,DEN,DFW,1620,1615,-5,15,1630,119,117,92,641,1902,10,1919,1912,-7,0,0,,,,,,
2015,1,10,6,DL,2230,N804DN,ATL,LAX,1620,1623,3,8,1631,305,286,255,1947,1746,23,1825,1809,-16,0,0,,,,,,
2015,1,10,6,DL,1277,N942DN,ATL,MSY,1620,1619,-1,9,1628,96,88,74,425,1642,5,1656,1647,-9,0,0,,,,,,
2015,1,10,6,DL,1528,N944DN,ATL,MSP,1620,1617,-3,7,1624,165,141,130,907,1734,4,1805,1738,-27,0,0,,,,,,
2015,1,10,6,DL,1938,N958DN,ATL,DCA,1620,1620,0,9,1629,102,81,69,547,1738,3,1802,1741,-21,0,0,,,,,,
2015,1,10,6,DL,1956,N320NB,ATL,ECP,1620,1620,0,14,1634,67,57,40,240,1614,3,1627,1617,-10,0,0,,,,,,
2015,1,10,6,EV,4729,N14177,ORD,JAX,1620,1623,3,12,1635,144,132,115,864,1930,5,1944,1935,-9,0,0,,,,,,
2015,1,10,6,EV,5552,N750EV,BDL,DTW,1620,1612,-8,16,1628,131,121,98,549,1806,7,1831,1813,-18,0,0,,,,,,
2015,1,10,6,F9,1322,N219FR,IAD,FLL,1620,1618,-2,12,1630,170,153,136,901,1846,5,1910,1851,-19,0,0,,,,,,
2015,1,10,6,F9,1111,N221FR,MCO,CLE,1620,1657,37,17,1714,145,145,119,895,1913,9,1845,1922,37,0,0,,2,0,0,35,0
2015,1,10,6,F9,1294,N908FR,DFW,CVG,1620,1607,-13,15,1622,125,121,100,812,1902,6,1925,1908,-17,0,0,,,,,,
2015,1,10,6,MQ,3129,N614MQ,DFW,VPS,1620,1626,6,16,1642,108,105,85,641,1807,4,1808,1811,3,0,0,,,,,,
2015,1,10,6,MQ,3140,N524MQ,DFW,ASE,1620,1721,61,9,1730,131,113,102,701,1812,2,1731,1814,43,0,0,,0,0,39,4,0
2015,1,10,6,MQ,3100,N847MQ,MSN,ORD,1620,,,,,55,,,108,,,1715,,,0,1,C,,,,,
2015,1,10,6,MQ,3327,N6EAMQ,DFW,CRP,1620,1616,-4,13,1629,75,81,65,354,1734,3,1735,1737,2,0,0,,,,,,
2015,1,10,6,EV,4234,N21130,ORD,PVD,1620,1623,3,15,1638,133,122,101,849,1919,6,1933,1925,-8,0,0,,,,,,
2015,1,10,6,MQ,3619,N906MQ,ORD,CWA,1620,1616,-4,14,1630,63,59,40,212,1710,5,1723,1715,-8,0,0,,,,,,
2015,1,10,6,OO,2589,N863AS,LAX,MRY,1620,1613,-7,24,1637,65,71,44,266,1721,3,1725,1724,-1,0,0,,,,,,
2015,1,10,6,OO,2732,N898SK,SBA,PHX,1620,1611,-9,20,1631,93,92,64,455,1835,8,1853,1843,-10,0,0,,,,,,
2015,1,10,6,OO,2714,N889AS,TUS,PHX,1620,1616,-4,15,1631,49,49,30,110,1701,4,1709,1705,-4,0,0,,,,,,
2015,1,10,6,AA,1664,N4XFAA,SAT,DFW,1621,1612,-9,17,1629,71,71,47,247,1716,7,1732,1723,-9,0,0,,,,,,
2015,1,10,6,EV,6172,N11547,MLI,ORD,1621,1624,3,8,1632,59,53,31,139,1703,14,1720,1717,-3,0,0,,,,,,
2015,1,10,6,HA,142,N491HA,HNL,ITO,1621,1618,-3,14,1632,51,54,35,216,1707,5,1712,1712,0,0,0,,,,,,
2015,1,10,6,EV,3942,N11181,ROA,ORD,1622,1634,12,12,1646,114,117,95,531,1721,10,1716,1731,15,0,0,,3,0,12,0,0
2015,1,10,6,OO,6454,N702BR,RNO,SFO,1623,1615,-8,8,1623,72,55,44,192,1707,3,1735,1710,-25,0,0,,,,,,
2015,1,10,6,DL,1527,N555NW,ATL,FLL,1623,1620,-3,9,1629,109,94,83,581,1752,2,1812,1754,-18,0,0,,,,,,
2015,1,10,6,DL,2004,N3764D,LAX,SLC,1623,1616,-7,25,1641,113,119,88,590,1909,6,1916,1915,-1,0,0,,,,,,
2015,1,10,6,HA,294,N487HA,LIH,OGG,1623,1651,28,5,1656,45,40,31,201,1727,4,1708,1731,23,0,0,,0,0,0,23,0
2015,1,10,6,OO,5180,N779SK,HDN,LAX,1623,1614,-9,21,1635,137,140,111,763,1726,8,1740,1734,-6,0,0,,,,,,
2015,1,10,6,DL,2260,N137DL,ATL,SFO,1624,1636,12,11,1647,327,296,277,2139,1824,8,1851,1832,-19,0,0,,,,,,
2015,1,10,6,EV,5513,N937EV,ATL,CAE,1624,1620,-4,14,1634,54,49,31,192,1705,4,1718,1709,-9,0,0,,,,,,
2015,1,10,6,US,1791,N173US,CLT,TPA,1625,1616,-9,21,1637,100,100,76,507,1753,3,1805,1756,-9,0,0,,,,,,
2015,1,10,6,US,1802,N753US,CLT,MSY,1625,1620,-5,17,1637,127,123,99,651,1716,7,1732,1723,-9,0,0,,,,,,
2015,1,10,6,US,1875,N801AW,CLT,PBI,1625,1622,-3,18,1640,113,106,83,590,1803,5,1818,1808,-10,0,0,,,,,,
2015,1,10,6,US,494,N554UW,LAX,PHX,1625,1640,15,17,1657,83,79,54,370,1851,8,1848,1859,11,0,0,,,,,,
2015,1,10,6,WN,3589,N8614M,ALB,MDW,1625,1626,1,13,1639,140,159,131,717,1750,15,1745,1805,20,0,0,,20,0,0,0,0
2015,1,10,6,WN,2821,N405WN,AUS,MDW,1625,1709,44,11,1720,155,164,129,972,1929,24,1900,1953,53,0,0,,9,0,0,44,0
2015,1,10,6,WN,1080,N8319F,BNA,MCO,1625,1644,19,9,1653,105,104,88,616,1921,7,1910,1928,18,0,0,,0,0,0,18,0
2015,1,10,6,WN,2445,N7711N,BOS,BWI,1625,1622,-3,13,1635,100,83,66,369,1741,4,1805,1745,-20,0,0,,,,,,
2015,1,10,6,WN,4150,N757LV,BUF,LAS,1625,1636,11,26,1702,315,325,294,1986,1856,5,1840,1901,21,0,0,,10,0,4,7,0
2015,1,10,6,WN,2970,N8640D,PHX,RNO,1625,1633,8,10,1643,105,103,88,601,1711,5,1710,1716,6,0,0,,,,,,
2015,1,10,6,WN,3802,N466WN,PHX,SEA,1625,1628,3,8,1636,185,168,155,1107,1811,5,1830,1816,-14,0,0,,,,,,
2015,1,10,6,WN,3885,N740SW,LAS,OMA,1625,1703,38,13,1716,155,145,128,1099,2124,4,2100,2128,28,0,0,,0,0,28,0,0
2015,1,10,6,WN,3311,N7734H,LAS,SNA,1625,1622,-3,18,1640,60,66,43,226,1723,5,1725,1728,3,0,0,,,,,,
2015,1,10,6,WN,2669,N7814B,MCI,PDX,1625,1658,33,10,1708,235,222,206,1482,1834,6,1820,1840,20,0,0,,0,0,0,20,0
2015,1,10,6,WN,4510,N432WN,MDW,BNA,1625,1701,36,22,1723,80,91,62,395,1825,7,1745,1832,47,0,0,,11,0,36,0,0
2015,1,10,6,WN,4496,N651SW,MDW,PHL,1625,1621,-4,9,1630,110,94,79,668,1849,6,1915,1855,-20,0,0,,,,,,
2015,1,10,6,WN,3720,N8618N,BUF,MDW,1625,1625,0,23,1648,110,117,89,468,1717,5,1715,1722,7,0,0,,,,,,
2015,1,10,6,WN,4082,N938WN,BWI,MDW,1625,1627,2,12,1639,130,130,110,611,1729,8,1735,1737,2,0,0,,,,,,
2015,1,10,6,WN,2644,N453WN,CMH,ATL,1625,1639,14,11,1650,100,90,72,447,1802,7,1805,1809,4,0,0,,,,,,
2015,1,10,6,WN,2552,N428WN,DTW,MDW,1625,1633,8,9,1642,70,63,48,228,1630,6,1635,1636,1,0,0,,,,,,
2015,1,10,6,WN,4312,N8324A,HOU,LAS,1625,1641,16,9,1650,200,181,166,1235,1736,6,1745,1742,-3,0,0,,,,,,
2015,1,10,6,WN,2653,N444WN,SMF,LAS,1625,1657,32,9,1706,80,80,63,397,1809,8,1745,1817,32,0,0,,0,0,0,32,0
2015,1,10,6,WN,2608,N8646B,STL,PHX,1625,1627,2,9,1636,210,187,174,1262,1830,4,1855,1834,-21,0,0,,,,,,
2015,1,10,6,AA,297,N5DHAA,LAX,HNL,1625,1616,-9,24,1640,369,362,332,2556,2012,6,2034,2018,-16,0,0,,,,,,
2015,1,10,6,AA,1385,N490AA,DFW,IND,1625,1621,-4,12,1633,119,117,99,761,1912,6,1924,1918,-6,0,0,,,,,,
2015,1,10,6,AA,1149,N555AA,DFW,SJC,1625,1624,-1,20,1644,230,213,190,1438,1754,3,1815,1757,-18,0,0,,,,,,
2015,1,10,6,AA,1576,N3EPAA,SNA,PHX,1625,1621,-4,18,1639,79,74,49,338,1828,7,1844,1835,-9,0,0,,,,,,
2015,1,10,6,AA,1591,N3FCAA,DFW,SEA,1625,1628,3,11,1639,266,231,216,1660,1815,4,1851,1819,-32,0,0,,,,,,
2015,1,10,6,AA,2399,N501AA,DFW,IAH,1625,1621,-4,12,1633,66,68,44,224,1717,12,1731,1729,-2,0,0,,,,,,
2015,1,10,6,AS,858,N530AS,OGG,SAN,1625,1620,-5,8,1628,320,293,281,2541,2309,4,2345,2313,-32,0,0,,,,,,
2015,1,10,6,B6,392,N304JB,TPA,BOS,1625,1628,3,8,1636,174,161,148,1185,1904,5,1919,1909,-10,0,0,,,,,,
2015,1,10,6,B6,1198,N565JB,MCO,LGA,1625,1629,4,13,1642,152,141,123,950,1845,5,1857,1850,-7,0,0,,,,,,
2015,1,10,6,B6,1027,N348JB,BOS,BWI,1625,1719,54,11,1730,95,83,67,369,1837,5,1800,1842,42,0,0,,0,0,42,0,0
2015,1,10,6,DL,2143,N525US,ATL,LAS,1625,1627,2,12,1639,277,256,235,1747,1734,9,1802,1743,-19,0,0,,,,,,
2015,1,10,6,DL,768,N523US,PBI,ATL,1625,1621,-4,10,1631,114,114,89,545,1800,15,1819,1815,-4,0,0,,,,,,
2015,1,10,6,DL,1053,N965DN,ATL,PBI,1625,1625,0,14,1639,109,97,79,545,1758,4,1814,1802,-12,0,0,,,,,,
2015,1,10,6,DL,1158,N616DL,MCO,SLC,1625,1730,65,23,1753,297,275,244,1931,1957,8,1922,2005,43,0,0,,0,0,17,26,0
2015,1,10,6,DL,1457,N385DN,SEA,SLC,1625,1625,0,14,1639,112,110,88,689,1907,8,1917,1915,-2,0,0,,,,,,
